,reviewText,overall,Sentiment,review
64,"They claimed to be selling authentic Apple EarPods and what I received was obvious Chinese knockoffs.  I submitted a complaint and they refunded my money.  After refunding my money they asked me to leave a positive review.I left a negative review so that someone else does not get scammed like I did and this was their response:&#34;I though you were a kind human been ...so  we were just try to see if you can understand  us but  it looks you more like  try to make someone buy stuff for you .  So its ok.  ONE DAY YOU  MIGHT HAVE YOUR ONE BUSINESS SOMEBODY SCREW YOUR OVER AND YOU MIGHT SEAT THERE EXPLAIN TO A CUSTOMER  HE OR SHE WILL ACT THE SAME YOU DO ....WHAT GOES COME BACK AROUND . WE WERE NICE ENOUGH TO LET YOU KEEP THE HEADPHONE AND  WE REFUND  ALL YOUR MONEY + YOUR SHIPPING  FEES. YOU STILL ASK ME FOR MORE.&#34;So as you can see, these are Chinese knockoff headphones.  DO NOT BUY!  I suggest going to the Apple store and paying the higher price for the real thing.  Don't get scammed!",1.0,0,claimed selling authentic apple earpods received obvious chinese knockoffs submitted complaint refunded money refunding money asked leave positive reviewi left negative review someone else get scammed like though kind human try see understand us looks like try make someone buy stuff ok one day might one business somebody screw might seat explain customer act goes come back around nice enough let keep headphone refund money shipping fees still ask see chinese knockoff headphones buy suggest going apple store paying higher price real thing dont get scammed
65,"Got these to replace a pair of earbuds that completely sealed the ear canal and these are more comfortable, sound great and were quite reasonable in price, considering that they are made by Apple.  These are guaranteed for a year so I will see if they hold up.  I find that my other earbuds will develop a break in the connection to one or the other of the buds in time.  I try to be careful, but it seems to be an all too frequent failure.",5.0,1,got replace pair earbuds completely sealed ear canal comfortable sound great quite reasonable price considering made apple guaranteed year see hold find earbuds develop break connection one buds time try careful seems frequent failure
66,"I understand we get what we paid for, but I paid for APPLE EarPods and I got the feeling this was a second hand rip off (which may be from a bad dealer, unfortunately Amazon Warehouse).  Apple makes the best of quality products.  This one seems a little flimsy, &#34;next track&#34; or &#34;previous track&#34; feature doesn't work, and one of the ear &#34;pods&#34; popped open the first day (I super glued it back and it hasn't come apart since)",2.0,0,understand get paid paid apple earpods got feeling second hand rip may bad dealer unfortunately amazon warehouse apple makes best quality products one seems little flimsy feature doesnt work one ear popped open first day super glued back hasnt come apart since
67,I broke my original pair that came with my iPhone 5 and was able to replace them very easily. Great pricing and a great product.,5.0,1,broke original pair came iphone able replace easily great pricing great product
68,"Things didn't last me more than two weeks, the ear buds came apart out of nowhere. Now i don't have ear buds.",1.0,0,things didnt last two weeks ear buds came apart nowhere dont ear buds
69,This product overall it is good and better then most. I like it! Last pair I had one of the ear plugs sound failed so I had to replace it for new one pair,4.0,1,product overall good better like last pair one ear plugs sound failed replace new one pair
70,"I didn't go out of my way to buy these, they were included with my iPhone. These Earpods are a significant improvement over the old earbuds. Sound is much clearer, louder, cleaner, and overall, better. They look and fit unusual for me for the first few minutes, but then they became one of the most comfortable earbuds I have used. They have not fallen out yet (not that I had a problem with the older buds). Since these are more bulky than the older buds, they come with a nice, compact traveling case.The remote and mic is extremely convenient for answering a call or changing your music quickly.Pros:Cleaner SoundMuch better bassFits more comfortablyTraveling case is a nice touchNo noise isolation (my opinion, I don't like the pressure)Cons:Price is still a bit highAt high volumes, some sounds are distortedThis is not an issue yet, but as cheaper knock offs appear, many people will be tempted by them.Buy from Amazon with Amazon.com as the seller. Or, since Amazon is starting to charge tax, buy it at a local Apple Store, Best Buy, etc.",5.0,1,didnt go way buy included iphone earpods significant improvement old earbuds sound much clearer louder cleaner overall better look fit unusual first minutes became one comfortable earbuds used fallen yet problem older buds since bulky older buds come nice compact traveling casethe remote mic extremely convenient answering call changing music quicklyproscleaner soundmuch better bassfits comfortablytraveling case nice touchno noise isolation opinion dont like pressureconsprice still bit highat high volumes sounds distortedthis issue yet cheaper knock offs appear many people tempted thembuy amazon amazoncom seller since amazon starting charge tax buy local apple store best buy etc
71,"I was so excited when I received these. As many know Apples previous earphones came with alot of discomfort. I anticipated the new and improved style to relieve my past experience. However, after wearing these for 10 minutes I realized they too cause just as much discomfort as the old ones. I really wanted to like these, and I will give credit that the sound is awesome along with the volume control. 3 stars for sound quality and volume control.",3.0,0,excited received many know apples previous earphones came alot discomfort anticipated new improved style relieve past experience however wearing minutes realized cause much discomfort old ones really wanted like give credit sound awesome along volume control stars sound quality volume control
72,"All the funtions work well except for the volume, It's not possible to turn up or turn down the volume.Package is good, it has the manual and warranty but...25 dolars and is not working properly. I have to travel to USA soon and I'll see if I can change it at an Apple Store... that's the problem for international customers.They are confortable.Todas las funciones trabajan bien, excepto las del volumen, no se puede subir ni bajar el volumen.El empaque parece ser original, incluye el manual y la garant&iacute;a pero 25 dolares y no trabaja propiamente. Tengo que viajar a USA pronto as&iacute; que ver&eacute; si lo puedo cambiar en alguna tienda Apple, es un problema para clientes de otros pa&iacute;ses.Son comodos",3.0,0,funtions work well except volume possible turn turn volumepackage good manual warranty dolars working properly travel usa soon ill see change apple store thats problem international customersthey confortabletodas las funciones trabajan bien excepto las del volumen se puede subir ni bajar el volumenel empaque parece ser original incluye el manual la garantiacutea pero dolares trabaja propiamente tengo que viajar usa pronto asiacute que vereacute si lo puedo cambiar en alguna tienda apple es un problema para clientes de otros paiacutesesson comodos
73,"I rarely write a review. However, I felt compelled to do it. I just received my EarPods and right out of the box the blew me away. The bass is perfect. The quality and crispness of the sound is excellent. I'm sure there are many earphones out there that outperform these, but for the price, these are unbeatable. They are also very comfortable to wear. I just love them.",5.0,1,rarely write review however felt compelled received earpods right box blew away bass perfect quality crispness sound excellent im sure many earphones outperform price unbeatable also comfortable wear love
74,"I've been using other other brands, I bought these because the value is not high and wanted to try everything they said, I was impressed by them that had made &#8203;&#8203;these new, sound the same or less than others I have had other brands and have cost much more.",5.0,1,ive using brands bought value high wanted try everything said impressed made new sound less others brands cost much
75,"The sound is quite good, however, the buttons do not work with my older version of iPod shuffle. Being so, I am unable to change the track and increase/decrease the volume. Summarizing: useless for the purpose that I have bought it.",1.0,0,sound quite good however buttons work older version ipod shuffle unable change track increasedecrease volume summarizing useless purpose bought
76,"I'm liking these very much, because they're very sleek, sound pretty good, and last but not least, don't fall out often",5.0,1,im liking much theyre sleek sound pretty good last least dont fall often
77,"These were directly from Apple, so if you have had luck with apple in the past, get these! For any Apple Product, They are great!",5.0,1,directly apple luck apple past get apple product great
78,Works great as expected.  Worth the additional $5 vs. the $20 Sony headphones w/ mic which I ended up returning due to terrible sound quality.,5.0,1,works great expected worth additional vs sony headphones w mic ended returning due terrible sound quality
79,I love Love Love these headphones and I would recommend these to anyone that needs a new pair the sound is Amazing!! yes Amazing!!,5.0,1,love love love headphones would recommend anyone needs new pair sound amazing yes amazing
